,,,Count,,,,,,,,,,,,,"Rate per 100,000 population",,,,,,,,,,,
,,Paraguay,,,,1285,1279,1316,1401,1332,1263,956,1249,1186,,,,,21.8,21.4,21.8,22.9,21.4,20.1,15,19.3,18.1
,,Peru,5991,5721,6268,6569,7223,7560,6751,5273,7471,8881,8611,8831,,22.2,21,22.7,23.5,25.5,26.4,23.3,18,25.1,29.4,28.2,28.5
,,Suriname,186,223,,,,,,,,,,,,38.1,45.6,,,,,,,,,,
,,Uruguay,297,327,,222,206,207,212,227,221,257,290,264,,8.9,9.8,,6.7,6.2,6.2,6.3,6.7,6.5,7.6,8.5,7.7
Asia,Central Asia,Kazakhstan,,,1583,1584,1514,1298,1376,1387,1761,2302,3148,,,,,10.2,10.2,9.6,8.2,8.5,8.5,10.6,13.7,18.4,
,,Kyrgyzstan,296,278,298,271,300,303,303,314,331,319,338,334,,5.9,5.5,5.8,5.2,5.7,5.7,5.6,5.7,6,5.6,5.9,5.7
,,Tajikistan,,53,54,56,47,55,36,57,43,,,,,,0.8,0.8,0.8,0.7,0.8,0.5,0.8,0.6,,,
,,Turkmenistan,37,36,27,27,,,,,,,,,,0.8,0.8,0.6,0.6,,,,,,,,
,Eastern Asia,Hong Kong Special Administrative Region of China,70,92,99,96,107,105,136,112,91,121,105,,,1,1.3,1.4,1.4,1.6,1.5,2,1.6,1.3,1.7,1.5,
,,Japan,2472,2176,2076,1948,1766,1592,1417,1293,1193,1265,1409,1250,,2,1.7,1.6,1.5,1.4,1.3,1.1,1,0.9,1,1.1,1
,,Macao Special Administrative Region of China*,,,,,,21,21,26,25,27,24,33,,,,,,,4.1,4,4.9,4.6,4.8,4.2,5.7
,,Mongolia,386,378,320,314,355,354,332,342,367,305,344,300,,15.6,15.1,12.7,12.3,13.7,13.5,12.4,12.6,13.3,10.9,12,10.3
,,"Korea, South",5899,6321,,,,,,,,,,,,12.5,13.4,,,,,,,,,,
,South-Eastern Asia,Brunei,24,26,24,28,,,,,,,,,,6.9,7.3,6.6,7.6,,,,,,,,
,,Indonesia,,,,,,2906,2548,2183,1977,1779,1690,1715,,,,,,,1.2,1.1,0.9,0.8,0.7,0.7,0.7
,,Philippines,3084,2918,2962,2584,2409,2585,5639,4718,4737,4385,8872,,,3.7,3.4,3.4,3,2.7,2.9,6.2,5.1,5,4.6,9.1,
,,Singapore,110,103,124,118,129,167,202,164,150,133,120,164,,2.6,2.4,2.8,2.6,2.7,3.4,4.1,3.2,2.9,2.5,2.2,3
,,Thailand,,,5071,5308,5152,4641,4676,2703,2151,2052,1830,1587,,,,7.7,8,7.8,7,7,4.1,3.2,3.1,2.7,2.3
,,Myanmar,,,,,,,262,220,363,437,490,,,,,,,,,0.5,0.4,0.7,0.8,0.9,
,Southern Asia,Bangladesh,,,11291,11682,,,,,,,,,,,,7.9,8.1,,,,,,,,
,,Bhutan,,,,,,28,51,45,55,60,58,,,,,,,,4,7.2,6.2,7.5,8.1,7.7,
,,India,,18233,18359,19348,20737,21467,21397,22172,24206,24923,33707,,,,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.9,2,2.6,
,,Maldives,2,1,,,5,7,6,9,13,3,5,,,0.7,0.3,,,1.6,2.2,1.8,2.7,3.8,0.9,1.4,
,,Nepal,,,191,210,,,,,,,,,,,,0.7,0.8,,,,,,,,
,,Sri Lanka,1378,1432,,,,1533,1598,1765,1775,2212,2181,,,7.2,7.4,,,,7.7,8,8.7,8.7,10.8,10.6,
,Western Asia,Armenia,3,9,15,7,5,15,15,11,10,14,15,,,0.1,0.3,0.5,0.2,0.2,0.5,0.5,0.4,0.3,0.5,0.5,
,,Azerbaijan,49,25,44,35,34,25,35,16,28,19,31,32,,0.6,0.3,0.5,0.4,0.4,0.3,0.4,0.2,0.3,0.2,0.3,0.3
,,Bahrain,19,27,25,17,21,36,,,,,,,,2.5,3.3,2.9,1.8,2,3.2,,,,,,
,,Cyprus,32,41,39,29,19,34,27,36,38,25,18,14,,3.2,4,3.8,2.8,1.8,3.2,2.5,3.3,3.4,2.2,1.6,1.2
,,Georgia,52,62,141,167,156,100,84,82,,,,41,,1.1,1.4,3.2,3.8,3.6,2.3,2,1.9,,,,1
,,Israel,,1319,1223,1291,1270,1243,,1021,1045,,,,,,20.4,18.5,19.1,18.4,17.5,,13.8,13.8,,,
,,Jordan,,,78,110,,,,,,,,,,,,1.5,2,,,,,,,,
,,Kuwait,,98,108,125,137,120,119,,,,,,,,4.5,4.8,5.2,5.4,4.4,4.1,,,,,
,,Lebanon,,,,,,101,178,185,187,182,181,167,,,,,,,2.5,4.3,4.3,4.1,3.7,3.4,3
,,Oman,,,,,132,183,,,,,,,,,,,,5.1,6.9,,,,,,
,,Qatar,11,13,,,,,,,,,,,,1.6,1.8,,,,,,,,,,
,,State of Palestine,85,98,105,,,12,13,15,18,8,,,,2.5,2.8,2.9,,,0.3,0.3,0.4,0.4,0.2,,
,,Syria,131,97,135,112,125,156,,,,,,,,0.8,0.5,0.7,0.6,0.6,0.8,,,,,,
,,Turkey,1604,1638,1694,1783,1148,1071,,,,,,,,2.4,2.4,2.5,2.6,1.7,1.5,,,,,,
,,United Arab Emirates,44,52,62,72,,,,,,83,77,78,,1.2,1.3,1.4,1.4,,,,,,0.9,0.9,0.9
,,Yemen,,,95,95,125,158,176,,,,,,,,,0.5,0.5,0.6,0.7,0.8,,,,,
,,Iraq,,,,,,428,490,546,558,558,568,439,,,,,,,,,,,,,
Europe,Eastern Europe,Belarus,432,386,483,353,336,240,218,143,119,96,140,141,,4.4,4,5,3.7,3.5,2.5,2.3,1.5,1.3,1,1.5,1.5
,,Bulgaria,611,529,403,310,225,262,246,211,157,187,164,148,,7.8,6.8,5.2,4.1,3,3.5,3.3,2.8,2.1,2.6,2.3,2.1
,,Czech Republic,646,687,596,530,637,529,480,586,675,669,589,669,,6.3,6.7,5.8,5.2,6.2,5.1,4.6,5.6,6.4,6.3,5.6,6.3
,,Hungary,535,267,264,206,215,214,228,246,196,192,248,318,,5.3,2.6,2.6,2,2.1,2.1,2.3,2.5,2,1.9,2.5,3.2
,,Poland,2322,2176,1987,2001,1827,1611,1530,1567,1498,1432,1362,1893,,6,5.7,5.2,5.2,4.7,4.2,4,4.1,3.9,3.7,3.5,4.9
,,Moldova,272,297,280,268,281,306,264,368,291,360,349,352,,6.5,7.1,6.7,6.5,6.8,7.4,6.4,9,7.1,8.8,8.6,8.6
,,Romania,983,953,1013,1116,1048,1016,1007,897,780,895,978,875,,4.5,4.4,4.7,5.3,5,4.9,4.9,4.4,3.9,4.5,4.9,4.5
,,Russia,,8848,9222,8871,7038,6208,5398,4907,4801,4486,4246,4163,,,6.1,6.4,6.2,4.9,4.3,3.8,3.4,3.4,3.1,3,2.9
,,Slovakia,233,224,200,174,182,152,142,117,150,88,91,87,,4.3,4.2,3.7,3.2,3.4,2.8,2.6,2.2,2.8,1.6,1.7,1.6
,,Ukraine,1048,964,924,993,878,880,758,635,,,,,,2.2,2,2,2.1,1.9,1.9,1.7,1.4,,,,
,Northern Europe,Denmark,472,562,475,527,492,396,352,342,342,317,351,462,,8.8,10.4,8.8,9.7,9,7.2,6.4,6.2,6.1,5.7,6.2,8.2
,,Estonia,107,121,179,153,122,160,124,81,91,143,135,147,,7.8,8.9,13.2,11.3,9.1,11.9,9.3,6.1,6.9,10.8,10.2,11.2
,,Finland,573,595,593,613,739,915,660,818,1039,1009,975,1009,,11,11.4,11.3,11.6,14,17.2,12.4,15.2,19.3,18.6,17.9,18.4
,,Iceland,69,51,75,72,87,68,78,,,,,,,23.8,17.4,25.3,23.9,28.5,21.9,24.8,,,,,
,,Ireland,370,409,451,371,357,348,329,442,914,517,453,477,,9.2,9.9,10.7,8.6,8.1,7.8,7.2,9.6,19.6,11.1,9.7,10.2
,,Latvia,123,319,251,129,93,100,69,78,50,64,73,75,,5.4,14.1,11.3,5.9,4.3,4.7,3.3,3.7,2.4,3.1,3.6,3.8
,,Lithuania,278,260,265,253,200,164,149,208,191,178,133,158,,8.2,7.7,7.9,7.7,6.1,5.1,4.7,6.7,6.2,5.9,4.5,5.4
,,Norway,706,739,798,840,945,944,998,938,1075,1116,1136,1127,,15.5,16.1,17.3,18,20,19.8,20.7,19.2,21.7,22.2,22.3,21.9
,,Sweden,2235,2261,3787,4208,4749,4901,5453,5479,6059,5949,5634,6294,,25,25.2,41.9,46.3,51.9,53.1,58.6,58.4,64,62.3,58.5,64.9
,,United Kingdom (England and Wales),13272,14013,14443,13774,12673,13096,15074,15892,16038,16374,20748,29265,,25.1,26.4,27,25.5,23.3,23.9,27.3,28.5,28.6,28.9,36.4,51
,,United Kingdom (Northern Ireland),364,360,345,447,389,368,422,498,548,503,497,655,,21.3,21,20,25.6,22.1,20.7,23.5,27.6,30.2,27.6,27.2,35.6
,,United Kingdom (Scotland)*,794,900,975,922,908,821,884,997,1183,1372,1690,1797,,15.7,17.7,19.1,18,17.6,15.8,16.9,18.9,22.3,25.8,31.7,33.6
