,,,Count,,,,,,,,,,,,,"Rate per 100,000 population",,,,,,,,,,,
,Eastern Asia,Hong Kong Special Administrative Region of China,,1392,1460,1524,1821,1856,1793,1836,1806,1863,1781,,,,20.3,21.3,22.2,26.5,26.9,25.8,26.3,25.6,26.2,24.9,
,,Japan,12501,11360,10827,10274,9430,8729,8142,8362,8122,8589,9063,8650,,9.9,9,8.5,8.1,7.4,6.9,6.4,6.6,6.4,6.8,7.1,6.8
,,Macao Special Administrative Region of China*,,,,,,43,46,45,48,49,53,55,,,,,,,8.5,8.8,8.4,8.8,8.8,9.3,9.5
,,Mongolia,,,338,323,366,373,347,362,388,332,405,353,,,,13.4,12.6,14.1,14.2,13,13.3,14.1,11.8,14.2,12.1
,,Republic of Korea,,,,13652,13435,15021,15688,18220,19491,19619,22310,21055,,,,,28.5,27.9,31,32.1,37.1,39.5,39.5,44.8,42
,South-Eastern Asia,Indonesia,,,,,,,,,,5102,4850,5499,,,,,,,,,,,2.1,1.9,2.2
,,Philippines,,,,1311,1410,1506,1601,2176,1744,1792,,,,,,,1.5,1.6,1.7,1.7,2.3,1.8,1.9,,
,,Singapore,,,,1398,1468,1403,1475,1579,1546,1553,1445,1536,,,,,30.3,31,28.9,29.7,31.1,29.8,29.3,26.7,27.9
,,Thailand,,,,,,,,1916,1538,1345,1228,1219,,,,,,,,,2.9,2.3,2,1.8,1.8
,,Myanmar,,,,,,,227,246,285,238,360,,,,,,,,,0.4,0.5,0.5,0.5,0.7,
,Southern Asia,Bhutan,,,,,,40,68,71,65,76,64,81,,,,,,,5.8,9.6,9.9,8.9,10.2,8.5,10.6
,,India,,62801,62518,65931,70421,74094,71117,72746,75744,79447,117035,,,,5.6,5.5,5.7,6,6.2,5.9,5.9,6.1,6.3,9.1,
,,Maldives,,,,,342,469,564,523,642,577,573,,,,,,,108.4,146.1,172.6,157.3,189.6,167.3,163.2,
,,Sri Lanka,,,,,,745,773,882,827,895,979,,,,,,,,3.7,3.8,4.4,4.1,4.4,4.8,
,Western Asia,Armenia,,48,51,52,33,63,73,82,71,105,116,,,,1.6,1.7,1.7,1.1,2.1,2.5,2.8,2.4,3.5,3.9,
,,Azerbaijan,,,,,214,223,267,204,172,180,212,214,,,,,,2.4,2.5,3,2.2,1.9,1.9,2.2,2.2
,,Bahrain,,,,,145,175,,,,,,,,,,,,14.1,15.7,,,,,,
